Item Name,Shortened Name,CO2 (g/kg),Numeric (grams),Brief Description (~20 words),Image Name,Notes,Citation,"(Tentative) ""Lively style"" Description?"
Google Gemini App Prompt,Gemini Prompt,0.03g,0.03,median Gemini Apps text prompt emits 0.03 grams of carbon dioxide equivalent (gCO2e),,,https://cloud.google.com/blog/products/infrastructure/measuring-the-environmental-impact-of-ai-inference/,A tiny whisper of a carbon footprint: just 0.03 g of CO₂ per Gemini prompt. Blink and it’s gone.
Google Search,Google Search,0.2 g,0.2,Average google search,google,,,"A single Google search spits out 0.2 grams of CO₂. So yes, asking “What time is it?” online leaves a trace of carbon footprint."
ChatGPT Prompt,GhatGPT Prompt,2-3g,2.5,Mid sized chatgpt prompt,chatgpt,,https://www.sustainabilitybynumbers.com/p/carbon-footprint-chatgpt,"Every prompt you send gives off 2 to 3 grams of CO₂. Small individually, but it adds up quickly while you chat nonstop!"
Microwave Oven,Microwave,30g,30,,microwave-oven,,https://www.carbonfootprint.com/energyconsumption.html,Heating leftovers releases about 30 g of CO₂. Your microwave munchies come with a side of emissions.
Kettle,Kettle,47g,47,Average kettle has 1542 uses every year,kettle,0.11 kWh per use based/1 Litre of water,https://www.carbonfootprint.com/energyconsumption.htm ,Boiling water emits about 47 grams of CO₂. Your tea time arrives with its own little carbon bill.
Cup of Coffee,Cup of Coffee,50g,50,,coffee-cup-drink,50g/per cup,https://clevercarbon.io/carbon-footprint-of-common-items#general,"Your morning coffee takes about 50 g of CO₂. Energy, beans, and boiling water all leave their mark."
Generating a smaller model image using AI,Small Generative Image,100g,100,,,,https://thesustainableagency.com/blog/environmental-impact-of-generative-ai/,Making a small AI image costs around 100 g of CO₂. That “quick” AI doodle isn’t as light as it looks.
Mobile Phone (1hr),Mobile Phone,172g,172,Mobile phones use electricity likely generated from power plants that emit carbon dioxide into the air,mobilephone,,,Using your phone for an hour means around 172 g of CO₂. That’s a lot for casual doom-scrolling.
Fridge-Freezer A spec,Fridge + Freezer,175g/ 1 year,175,,fridge,"avg 408kWh per use, 24 hours a day",,A fridge-freezer quietly hums out 175 g of CO₂ in a year. Keeping snacks cool still takes power.
Washing machine use,Washing Machine,273g,273,,washing-machine,avg 0.63kWh per use,https://www.carbonfootprint.com/energyconsumption.html ,One load of laundry produces about 273 g of CO₂. Your clothes get clean; the planet gets a bit dirtier.
Car Ride,Car Ride,560g,560,The average ten minute car ride with a gas car over 1.5 miles. ,car-white,10 mins (1.55 miles),https://clevercarbon.io/carbon-footprint-of-common-items#general,"A short car ride burns through about 560 g of CO₂. Tiny trip, noticeable footprint."
Electric tumble dryer cycle,Electric Dryer,930g,930,,tumble-dryer,avg 2.50kWh/per cycle with avg load of 4.67 kg dry laundry,https://www.carbonfootprint.com/energyconsumption.html ,A tumble-dry cycle pumps out around 930 g of CO₂. Fluffy clothes come at a cost.
Toilet Paper,Toilet Paper,1300g,1300,1 roll 2 ply,toilet-paper,,https://clevercarbon.io/carbon-footprint-of-common-items#general,"One toilet paper roll uses about 1,300 g of CO₂. Even wiping leaves a footprint."
Generating a bigger model image using AI,Big Generative Image,1594g,1594,,,,https://thesustainableagency.com/blog/environmental-impact-of-generative-ai/,"Generating a bigger AI image uses around 1,594 g of CO₂. A larger masterpiece comes with larger emissions."
Hot Shower ,Hot Shower,2kg,2000,,shower,10 mins,https://clevercarbon.io/carbon-footprint-of-common-items#general,"A hot 10-minute shower gives off about 2 kg of CO₂. Relaxing for you, not so much for the atmosphere."
Cooling ,Cooling,2kg,2000,,air-conditioning,average American home per year,https://clevercarbon.io/carbon-footprint-of-common-items#generalhttps://www.npr.org/2007/08/27/13941744/the-energy-costs-of-cooling-and-heating-a-home,Cooling a typical U.S. home racks up roughly 2 kg of CO₂ each year. Comfort quietly consumes energy.
Heating,Heating,7kg,7000,This figure is for the average American home's heater CO2 expenditure per year,heating,average American home per year,https://clevercarbon.io/carbon-footprint-of-common-items#generalhttps://clevercarbon.io/carbon-footprint-of-common-items#general,Heating a home hits about 7 kg of CO₂. Warm toes come with warming the planet.
GPT-3 daily carbon footprint,Daily GPT-3,22.68 kg,22680,,,,,GPT-3 uses around 22.68 kg of CO₂ each day. AI conversation has a surprisingly hefty footprint.
Primary TV,Primary TV,215 kg/year,215000,"A 34-37 inch Liquid Crystal Display TV, being used by the average family",tv,"on power, 6.5 hours a day",https://www.carbonfootprint.com/energyconsumption.html,Watching your primary TV for a year emits about 215 kg of CO₂. Binge-watching is far from carbon-free.
Kylie Jenner Private Jet Flight ,Kylie Jenner Jet,1 ton,1000000,"17 minute private jet flight from Camarillo, CA --> Van Nuys, CA",kylie-jenner-private-jet,,https://www.theguardian.com/environment/2022/jul/21/kylie-jenner-short-private-jet-flights-super-rich-climate-crisis,"Kylie Jenner’s 17-minute private-jet hop? A whole metric ton of CO₂. Yes, for 17 minutes."
Flight (Personal Footprint),Flight,1.8 tonnes,1800000,NY to Tokyo,airplane,"one way, economy",https://clevercarbon.io/carbon-footprint-of-common-items#general,A flight from New York to Tokyo clocks in at 1.8 tons of CO₂. Crossing oceans leaves big footprints.
GPT-3 yearly carbon footprint ,Yearly GPT-3,~7.62 tonnes,7620000,,,,,GPT-3’s yearly emissions reach around 7.62 tons of CO₂. Quite the appetite for electricity.
ChatGPT monthly carbon footprint ,Monthly ChatGPT,"~ 260,930 kg ",260930000,this is roughly equal to 160 transatlantic flights ,,,,"ChatGPT’s monthly footprint is about 260,930 kg of CO₂. Roughly the same as 160 transatlantic flights."
Training GPT-3 ,Training GPT-3,502 tonnes ,502000000,"training GPT-3 w/ 175 billion parameters consumed 1287 MWh of electricity, and resulted in carbon emissions of 502 metric tons of carbon, equivalent to driving 112 gasoline powered cars for a year.",,,https://arxiv.org/ftp/arxiv/papers/2104/2104.10350.pdf ,Training GPT-3 released about 502 tons of CO₂. A powerful model with a powerful footprint.
Training GPT-4,Training GPT-4,5184 tons,5184000000,,,, https://www.axios.com/2025/04/14/chatbots-chatgpt-ai-carbon-climate,"Training GPT-4 reached about 5,184 tons of CO₂. Building the future of AI takes a lot of energy."
Superyacht on Standby,Superyacht,7000 tonnes,7.00E+09,"superyacht kept on permanent standby generates about 7,000 tonnes of CO2 a year",,,https://www.theguardian.com/environment/2023/nov/20/twelve-billionaires-climate-emissions-jeff-bezos-bill-gates-elon-musk-carbon-divide,
